매물명,성별전용,면적(㎡),보증금(원),월세(원),인실,만실,건물형태,방(개),화장실(개),층,총층,전체면적(㎡),전체평수,난방방식,승강기,주차,반려동물,흡연,조리도구,식기류,전자레인지,전기포트,에어컨,정수기,세탁기,식탁,청소기,신발장,냉장고,와이파이,커피포트,수납함,청소서비스,의자,분리수거함,가스레인지,토스터,TV,소파,다리미,커튼,소독,전신거울,빨래건조대,옷장,테라스,밥솥,스탠드,건조기,도로명주소
제인스하우스 공덕점,여,23,500000,260000,4,O,아파트,4,2,,,,,개별난방,있음,가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,O,O,X,X,O,X,X,X,X,O,X,X,O,X,O,서울특별시 마포구 새창로 52
제인스하우스 공덕점,여,16,600000,300000,3,O,아파트,4,2,,,,,개별난방,있음,가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,O,O,X,X,O,X,X,X,X,O,X,X,O,X,O,서울특별시 마포구 새창로 52
제인스하우스 공덕점,여,15,360000,720000,2,X,아파트,4,2,,,,,개별난방,있음,가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,O,O,X,X,O,X,X,X,X,O,X,X,O,X,O,서울특별시 마포구 새창로 52
제인스하우스 공덕점,여,13,920000,460000,1,X,아파트,4,2,,,,,개별난방,있음,가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,O,O,X,X,O,X,X,X,X,O,X,X,O,X,O,서울특별시 마포구 새창로 52
그린 서울대입구역점,여,9.9,1000000,400000,1,X,빌라,3,1,2,4,50,15,개별난방,없음,가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,X,O,O,O,O,X,X,X,X,O,X,X,O,X,X,서울특별시 관악구 행운1다길 31
그린 서울대입구역점,여,13.2,1000000,350000,2,X,빌라,3,1,2,4,50,15,개별난방,없음,가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,X,O,O,O,O,X,X,X,X,O,X,X,O,X,X,서울특별시 관악구 행운1다길 31
그린 서울대입구역점,여,13.2,1000000,450000,1,O,빌라,3,1,2,4,50,15,개별난방,없음,가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,X,O,O,O,O,X,X,X,X,O,X,X,O,X,X,서울특별시 관악구 행운1다길 31
우주 74호점,남,,1260000,550000,1,X,빌라,2,1,,,,,개별난방,없음,불가능,불가능,불가능,X,X,O,X,O,X,X,O,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,서울특별시 강남구 개포동 1248-7번지
우주 74호점,남,,1000000,420000,2,O,빌라,2,1,,,,,개별난방,없음,불가능,불가능,불가능,X,X,O,X,O,X,X,O,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,서울특별시 강남구 개포동 1248-7번지
아이엠하우스 홍대 2호점,여,,800000,420000,2,X,빌라,3,1,,,,,개별난방,없음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,서울특별시 마포구 양화로23길 4-12
아이엠하우스 홍대 2호점,여,,800000,560000,1,X,빌라,3,1,,,,,개별난방,없음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,서울특별시 마포구 양화로23길 4-12
아이엠하우스 홍대 2호점,여,,800000,510000,1,X,빌라,3,1,,,,,개별난방,없음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,서울특별시 마포구 양화로23길 4-12
